tillage_depth_cm,implement_width_m,soil_moisture_pct,speed_kmh,fuel_L_per_hr
12.49,1.63,14.22,3.25,15.893
24.01,2.83,16.96,2.16,20.548
19.64,2.85,14.43,3.09,16.535
16.97,3.09,12.22,5.5,16.851
8.12,3.32,13.02,4.53,16.644
8.12,3.94,21.52,7.36,24.455
6.16,2.79,15.16,6.9,17.046
22.32,2.31,19.11,4.05,20.708
17.02,3.49,22.59,3.56,21.049
19.16,2.18,27.26,4.28,17.999
5.41,2.6,10.98,5.54,16.73
24.4,1.7,29.99,3.61,20.96
21.65,1.56,25.7,5.74,19.052
9.25,3.91,12.04,4.46,17.183
8.64,3.59,31.84,5.31,19.484
8.67,3.24,33.02,4.62,18.004
11.08,2.52,11.53,3.77,14.862
15.5,1.93,16.92,7.69,17.782
13.64,1.89,30.16,6.58,20.336
10.82,2.13,28.71,2.84,15.143
17.24,2.87,14.61,7.21,20.634
7.79,3.29,15.23,4.92,15.376
10.84,3.15,19.26,7.37,20.79
12.33,2.2,22.11,6.8,20.598
14.12,3.89,25.46,4.55,17.421
20.7,3.34,19.22,2.13,18.231
8.99,2.89,21.56,3.61,18.034
15.28,3.03,28.69,5.25,18.675
16.85,2.55,10.92,5.8,20.538
5.93,2.12,16.31,3.55,15.141
17.15,2.39,27.83,2.84,16.4
8.41,3.39,32.38,7.01,21.791
6.3,1.54,22.79,7.91,19.656
23.98,1.79,23.3,5.15,19.523
24.31,1.62,12.68,3.03,16.959
21.17,1.6,21.19,3.63,15.761
11.09,3.64,23.32,2.11,16.774
6.95,3.26,16.06,7.49,17.462
18.68,2.69,16.73,2.71,16.657
13.8,1.74,19.43,5.46,16.327
7.44,2.73,10.5,3.64,14.209
14.9,2.68,18.05,5.33,20.23
5.69,1.93,15.29,5.91,17.626
23.19,2.58,18.19,6.98,22.29
10.18,2.5,12.99,3.24,13.927
18.25,3.04,32.26,2.07,17.486
11.23,3.09,24.84,2.82,18.221
15.4,1.61,26.98,7.4,20.79
15.93,2.44,29.73,7.24,25.379
8.7,3.06,22.46,5.58,19.183
24.39,2.76,12.17,5.6,20.049
20.5,3.64,23.43,5.99,21.634
23.79,3.15,24.67,3.05,19.569
22.9,1.91,28.64,7.49,22.228
16.96,1.68,20.79,4.51,18.233
23.44,3.11,13.19,4.3,20.573
6.77,1.57,17.09,5.11,14.732
8.92,2.96,19.08,2.28,13.789
5.9,3.85,26.15,3.0,14.95
11.51,2.94,24.27,6.43,20.799
12.77,2.47,18.9,2.5,14.236
10.43,3.11,34.66,5.62,17.947
21.57,2.65,25.14,3.47,19.308
12.14,2.86,15.93,4.34,20.303
10.62,3.85,12.54,3.73,17.122
15.85,2.47,13.82,4.13,18.041
7.82,3.9,16.15,6.31,19.291
21.04,3.76,14.02,3.78,19.123
6.49,1.99,14.66,5.4,17.09
24.74,1.67,17.13,4.86,17.874
20.44,1.75,14.33,5.98,18.742
8.97,1.55,32.42,7.62,21.083
5.11,1.74,12.01,6.4,15.126
21.31,3.21,23.11,3.29,20.46
19.14,1.68,20.26,2.19,15.213
19.58,2.3,34.56,3.57,18.006
20.43,3.61,12.8,5.57,21.027
6.48,1.56,19.95,2.31,12.516
12.17,3.54,34.24,4.98,20.795
7.32,2.2,31.64,5.58,18.753
22.26,1.8,30.43,4.01,20.409
17.47,3.24,16.45,6.63,21.281
11.62,3.07,14.27,2.64,15.706
6.27,3.69,26.72,2.45,17.186
11.22,3.34,33.23,6.37,23.624
11.5,3.51,23.92,4.97,20.023
19.59,2.21,24.29,6.13,20.342
17.75,1.94,17.0,4.61,15.542
22.74,3.38,29.24,3.48,18.857
14.44,3.52,14.68,6.91,19.882
7.39,3.98,18.09,6.8,19.096
19.26,2.53,20.64,6.17,19.928
20.22,2.43,22.69,3.63,18.225
16.23,3.44,16.06,5.54,20.366
20.42,2.35,12.87,4.17,17.375
14.88,3.83,25.27,2.55,18.723
15.45,3.65,17.22,7.5,21.66
13.55,2.57,24.53,2.82,14.201
5.51,3.38,13.86,7.7,17.771
7.16,3.39,22.03,4.68,17.674
5.63,1.76,23.31,3.11,13.283
17.73,3.76,11.3,5.25,20.296
11.29,2.76,18.42,7.24,21.852
15.17,3.57,13.36,6.39,21.632
23.15,2.3,11.58,6.84,19.442
9.99,3.74,34.75,5.95,23.656
13.21,2.47,18.06,6.15,18.93
20.11,1.53,30.25,7.1,20.866
9.58,3.76,16.37,3.5,16.317
6.54,1.73,27.04,4.94,16.526
10.8,2.3,29.01,3.33,16.295
8.22,3.88,24.89,7.93,22.303
23.59,3.88,21.79,7.66,24.608
21.16,2.93,20.3,2.24,17.463
17.67,3.08,18.72,6.23,21.047
22.43,2.62,33.24,7.55,26.12
21.07,2.23,30.77,3.08,19.597
8.73,2.32,34.13,5.41,17.413
22.85,3.18,13.11,7.49,17.516
15.79,3.38,28.27,2.2,18.82
21.15,3.48,33.46,6.18,21.534
22.92,3.47,14.53,3.78,18.966
11.36,1.73,11.66,7.55,16.099
7.2,2.74,28.53,7.83,18.786
9.56,1.64,24.36,7.67,20.304
13.54,2.87,31.05,4.85,20.703
21.36,2.6,13.49,7.17,19.535
22.21,3.72,29.88,7.07,20.428
5.14,2.38,15.04,3.91,14.384
15.21,1.79,14.09,6.97,18.917
13.35,1.86,14.11,2.22,12.536
9.44,3.4,30.36,5.58,20.477
7.4,3.05,26.63,3.38,16.772
11.75,1.75,23.08,2.72,15.809
23.86,1.71,18.97,2.46,16.512
11.46,3.25,31.93,6.18,20.008
15.38,1.68,19.81,4.04,18.057
19.06,3.55,30.41,6.35,22.83
12.27,3.27,20.98,2.39,16.418
24.44,1.7,19.42,3.89,16.354
24.25,1.71,21.57,5.24,18.51
10.04,3.97,17.53,6.74,19.084
14.94,2.44,28.69,3.91,17.955
11.02,2.43,22.57,5.76,20.81
10.7,3.53,15.81,7.32,18.239
5.74,3.87,32.49,5.7,18.495
17.19,3.97,19.6,3.4,20.945
15.05,3.38,23.59,2.15,16.844
6.03,2.44,32.66,7.22,19.86
10.57,1.71,25.61,2.13,15.704
23.17,3.44,12.92,7.25,20.889
9.79,2.9,33.5,5.17,22.018
7.9,2.56,25.69,7.63,21.372
14.79,3.77,18.37,6.79,20.444
24.71,1.78,13.48,7.99,24.18
9.84,2.73,29.85,4.1,17.242
18.44,1.53,25.5,6.6,21.028
20.23,2.67,23.34,4.41,19.698
9.75,1.64,32.35,4.88,19.492
19.56,1.8,29.71,5.77,22.493
12.36,1.79,13.79,7.24,18.119
17.65,3.12,17.79,7.9,20.606
17.67,3.37,16.21,6.61,21.405
15.72,2.96,28.6,4.51,18.638
6.81,3.91,10.84,4.53,19.199
21.71,2.44,24.25,6.43,21.473
11.42,2.21,29.06,3.43,16.439
8.73,3.67,31.92,2.66,17.666
5.82,2.06,18.55,4.13,13.831
16.82,3.91,30.53,3.72,19.031
18.55,1.53,12.77,3.78,17.432
5.33,3.92,31.16,3.4,17.072
15.24,1.61,13.19,2.25,12.948
9.53,3.73,19.93,2.11,16.688
17.9,2.82,29.93,7.93,25.35
8.49,3.98,13.75,4.57,18.509
18.82,1.68,15.73,4.31,18.181
12.73,2.88,28.06,6.08,19.438
23.73,3.92,28.0,3.31,18.97
7.75,2.81,26.03,7.7,22.832
11.82,3.07,27.35,6.72,20.623
7.27,3.24,23.57,2.54,15.587
23.49,2.64,16.29,4.51,21.036
22.55,3.07,18.64,7.27,23.081
10.16,2.96,14.54,7.67,20.118
18.2,3.75,32.71,4.8,24.843
21.34,1.61,24.58,5.68,18.462
16.1,2.2,20.02,3.0,17.508
15.59,3.88,21.55,7.95,23.069
9.84,3.73,33.68,3.39,19.011
6.86,2.64,13.83,7.66,20.453
22.94,3.05,24.66,5.9,22.64
23.01,2.19,22.65,5.65,21.013
17.66,1.97,25.29,5.08,20.333
11.78,2.66,10.45,3.38,15.077
11.98,2.38,31.8,3.06,16.039
19.52,2.96,33.3,3.32,18.062
22.94,1.69,24.13,3.12,14.48
22.74,3.94,27.42,6.68,27.452
20.6,3.97,33.06,4.1,20.258
17.84,3.25,27.68,2.35,17.705
6.68,2.84,13.81,7.81,18.37
8.23,2.27,24.41,7.3,20.093
22.97,3.53,25.17,7.57,25.552
17.13,3.21,20.6,7.97,23.647
5.18,1.91,28.41,3.04,14.464
7.03,3.78,33.36,4.38,19.065
18.27,3.56,33.14,6.55,23.957
5.1,3.87,21.27,6.18,18.933
8.22,3.31,12.83,2.92,17.257
15.97,3.03,34.62,6.89,23.784
18.84,2.55,30.97,3.35,19.61
18.04,3.83,13.12,3.34,19.195
9.49,3.67,33.02,5.22,21.971
19.24,1.61,31.75,5.56,20.215
9.74,1.57,22.97,5.48,15.564
11.51,2.44,24.78,2.55,16.318
19.93,3.53,19.98,7.26,21.488
17.99,3.97,11.37,3.59,17.788
21.98,1.88,18.38,2.78,17.311
18.15,2.99,30.07,7.33,25.054
16.37,2.45,10.12,7.73,19.325
6.87,3.92,18.34,7.17,20.49
12.35,3.61,19.95,6.86,23.148
10.3,3.6,23.43,5.93,20.343
9.88,2.67,33.0,5.31,22.862
24.46,2.54,18.66,2.52,18.412
12.86,2.18,18.67,4.45,14.668
22.84,1.64,28.44,4.24,19.844
17.62,3.66,21.31,3.56,19.546
20.9,3.53,15.62,6.34,23.213
15.05,4.0,21.31,4.98,21.159
16.54,3.99,13.52,2.49,17.396
14.85,2.89,14.41,3.32,15.124
8.9,3.42,22.46,6.1,19.328
19.45,3.86,20.47,2.46,17.448
10.62,3.62,32.87,7.11,21.923
5.49,2.12,19.06,4.97,16.836
17.91,2.63,24.51,4.88,21.747
8.54,1.82,25.81,5.55,18.243
23.81,3.89,10.33,6.95,20.024
24.08,3.02,26.59,4.09,21.128
23.3,2.07,14.45,6.07,21.182
12.4,3.18,34.03,5.39,20.026
5.31,3.05,13.72,3.6,15.144
23.57,2.4,20.37,7.27,21.74
13.56,1.78,12.13,6.78,16.522
24.33,3.18,34.92,5.95,24.789
24.27,2.8,22.55,7.1,22.388
22.06,3.43,24.88,7.2,24.176
10.89,2.8,11.68,6.25,16.685
12.7,3.63,28.75,7.02,21.778
22.02,2.88,15.25,6.18,21.51
11.34,2.9,32.45,6.08,20.366
8.39,3.69,15.13,5.71,20.593
16.14,2.51,14.77,6.52,18.516
23.72,1.84,10.91,2.95,16.488
18.92,1.57,21.8,7.29,21.562
16.4,3.39,24.12,7.23,20.177
6.94,3.05,11.64,2.18,12.425
17.3,3.26,29.39,6.95,20.568
24.8,2.03,21.33,2.77,19.243
7.8,1.84,23.11,4.01,15.194
15.37,1.54,21.02,6.46,22.323
22.55,2.38,20.02,2.96,16.797
19.82,2.97,23.99,6.91,22.349
18.94,2.48,13.88,6.99,22.148
19.05,2.59,14.55,5.04,21.339
12.19,3.76,31.54,2.04,19.89
10.87,2.37,33.65,3.72,19.203
21.19,2.78,19.33,5.7,21.815
21.2,3.46,16.77,7.89,23.638
22.34,2.49,26.1,5.79,22.279
23.26,3.06,20.22,3.56,18.393
15.23,3.66,10.63,5.8,18.03
15.03,3.87,13.9,5.24,19.382
20.97,1.87,27.9,6.68,20.913
18.0,3.82,26.47,2.64,18.341
19.04,2.73,10.68,6.57,20.358
20.92,2.15,15.55,5.25,19.903
22.8,2.65,15.78,7.78,21.768
11.76,3.95,26.8,4.05,21.123
12.51,2.73,10.49,5.8,16.028
6.88,2.32,12.6,7.59,17.6
16.57,3.08,30.0,2.62,17.126
5.72,2.1,14.46,7.62,15.35
14.31,1.69,26.32,6.13,19.018
15.85,1.82,15.95,2.41,14.787
10.73,1.82,12.49,3.81,16.761
16.82,1.88,16.08,6.25,19.317
5.61,1.85,28.06,2.4,13.342
5.75,3.1,31.39,5.49,21.496
21.45,1.95,30.76,4.08,20.785
12.2,2.36,19.93,5.73,19.087
7.54,3.74,26.7,2.27,16.207
15.44,2.68,15.12,7.23,18.422
20.4,3.17,17.33,7.84,21.606
9.32,1.93,32.41,7.81,22.821
17.46,1.98,10.33,6.5,20.769
6.71,1.6,12.14,2.78,14.899
