alcohol_category,ses_z,parent_age,parenting_score,child_risk_cont,child_adverse
None,-0.5969742867210739,34.1,43.10453380410293,0.17001991194613325,0
Heavy,-2.390304367469438,37.1,52.35501627690873,0.33270004544365983,0
Moderate,-0.41222074502447015,29.1,62.523440838850775,0.08462579269427388,1
Moderate,0.9134737320174066,34.1,79.40923258645142,0.2064854291830777,1
None,0.5376299029498797,33.8,100.0,0.052361440227146054,0
None,0.4281862478105761,36.1,82.69637909581239,0.05685522234942761,0
None,-0.27999330187447974,37.0,99.76752830392061,0.019501700809517915,0
Heavy,-1.2790307362197864,38.4,68.75769847151776,0.13359564676738075,0
Moderate,0.5152943216244674,36.4,65.08357611567193,0.15609561596251761,0
Moderate,-0.8342818100346248,27.7,71.59206544725743,0.11007803141162723,0
None,2.184096733380456,29.4,95.13467937674193,0.08484730951325477,0
Heavy,0.570507208354516,31.7,85.94662670145811,0.07789541881371279,0
Moderate,-0.5806483025539511,33.3,64.79508149847022,0.16476729543123464,1
None,-0.6113852473886282,41.3,75.02380127221564,0.1258071377148604,0
None,-0.09294420661358828,28.0,61.305656297703,0.14009230542107937,1
None,-0.23950192202174977,32.9,81.52413375046784,0.06798430201470482,0
None,1.1168337755299542,40.7,96.14676822267596,0.03196466205738367,0
Moderate,0.18641616974404632,33.2,69.84922841956849,0.17250722156477297,0
Moderate,-0.7316317389085281,37.8,63.30198144012981,0.12400847782503926,0
None,1.8904406851557827,34.2,78.16789521808619,0.08403782156340417,0
Moderate,0.04930833152022263,36.5,75.23258380100182,0.09872062522450473,0
None,0.7688396759688968,33.6,72.3102111773141,0.13255278031244472,0
None,-0.6082265074447593,39.0,77.80964779614739,0.12467080576485252,0
None,0.3631156277445234,25.7,76.28759405181206,0.06082373522582635,0
Moderate,0.3111099911431952,32.8,84.93427978572389,0.14117831970431516,0
Moderate,-1.889649292096153,36.8,75.66959330798237,0.06187635930366251,0
None,2.01527511046064,38.2,66.55990753534952,0.11124792941520942,0
Moderate,1.2906444609225471,44.0,62.074360994151306,0.16411679389632336,0
Moderate,-0.39719531614598763,32.7,73.25238136310396,0.10900964954615641,0
None,-1.1022697404558555,43.9,84.47086307153947,0.036392763236621856,0
Moderate,0.34756161380355205,31.0,74.54336283736757,0.1997238383690798,0
None,0.08669769941439659,43.0,67.19498919536126,0.139982934251052,0
None,0.3556689485632294,39.9,82.43239413248028,0.08375980494344293,0
Heavy,0.19157739619408962,29.5,59.99154011301103,0.2604882856143826,0
Heavy,0.5062409893059261,36.8,75.50389420514088,0.25675790272406845,0
Moderate,1.4473056993918065,34.7,82.28106766564946,0.06422850876119754,0
None,0.5681032051286461,38.8,70.47440903674196,0.07853045287839056,0
None,-1.0496554989099411,33.7,77.70354747955608,0.08600451691197464,0
Moderate,1.362562852712452,33.2,89.43728868819852,0.25252603551630565,0
Moderate,1.6406145634882874,43.2,69.46637873481811,0.13879076965042483,0
None,3.152056734512085,34.4,82.35038248809643,0.07764546653488229,0
Moderate,-1.123494033239598,40.0,66.87508924855102,0.14831053552822104,1
None,0.242882013150275,33.6,80.6239540834735,0.09424054769345763,0
Heavy,-2.0820987031889873,45.0,50.02014279302057,0.12485933895651136,0
None,0.5531491563792091,30.9,77.60188422140692,0.05668697184981776,0
Moderate,-0.5482002981667726,31.3,83.60498518001947,0.13642552708001746,0
None,1.9234457948249533,44.1,72.43248229561614,0.1342023325073852,0
Moderate,-0.7746149700185819,32.3,52.96164780333135,0.1585174888737037,0
Moderate,-1.6891830379672617,44.6,59.655820170679654,0.1394804194218975,1
None,-0.47126374070251964,40.4,67.43693769913288,0.07671979745924515,0
Heavy,-1.9754877712171375,34.1,68.23271203963314,0.13993911411168808,0
Moderate,0.7510994545073101,24.1,56.32945630608599,0.18416926993741156,0
Heavy,-2.0650830462563206,34.9,56.90655259497134,0.20651661121670217,0
Heavy,0.02845758118315888,35.6,71.09701646011789,0.2791101941128097,1
Moderate,-2.077811819856197,42.0,72.82235749196522,0.14698021781365866,0
Heavy,-0.3202978045366419,44.5,60.56975924923267,0.23795039205938728,0
None,1.643378155804534,30.9,81.03948905784398,0.058806905932504705,0
None,0.36064789143579495,39.8,76.5205088082299,0.09040352976335256,0
None,-0.863493604964934,39.6,71.82592451812499,0.09692635310380365,0
None,-0.031203488939083975,41.4,71.4476755720921,0.0934689830562812,0
None,0.018016872044446585,38.0,96.3757479407111,0.03961886851974297,1
None,0.47263034584340563,23.3,82.31029421956981,0.07781712773584495,1
Moderate,-1.3668583632808264,34.1,99.824571052072,0.15288400081165157,0
None,0.5925672738473307,28.1,75.6072055770126,0.08465969390998049,0
None,-2.704391631602775,33.8,70.40743333795383,0.22704753416967588,1
Moderate,-0.6298845523638104,40.9,61.39490023430911,0.19011793094945242,0
None,-0.48827384245154465,36.8,68.32316831113484,0.08578950827148711,0
Moderate,0.6333268260712385,41.9,92.82959861730966,0.0501122959915515,0
None,0.02263085267686914,37.1,65.30820478387712,0.17994033018856362,0
Heavy,-1.4055630538562867,27.2,80.5951951333566,0.07159591345372016,0
Moderate,-0.9849931258170151,19.9,56.59127746551201,0.13071727487993787,0
None,0.1986800095474069,35.9,61.46344415908558,0.1087671092149959,1
None,-0.07906734186455629,33.7,66.97106628221682,0.11446414220789869,0
Moderate,-0.5791241096357465,29.1,71.68241060363779,0.15139626015770136,0
Moderate,-0.48083378951197936,24.8,81.24271831258979,0.0722655050733462,0
Moderate,0.696167997159289,30.6,74.39784922597839,0.10253523088295421,0
Moderate,-0.5176925728692147,33.8,64.56382676151273,0.15419920958091993,0
None,-0.08809124402907328,39.0,76.97432626622327,0.10381469698636653,0
None,2.169936588080543,36.1,73.51615443776441,0.13263442923804733,0
None,-1.423682636883923,44.6,63.51849408477626,0.08533738942849321,0
Heavy,-1.8518427315746586,28.8,51.84735027213052,0.31382420151620505,1
Moderate,0.7835896647986067,40.3,85.3651086571175,0.07986285270676725,0
None,-0.6786430612941032,35.3,52.7927416401711,0.15542928105153092,0
None,-0.31823752774262026,39.2,90.80736235158562,0.039592678603960756,0
None,-0.7811563781311142,32.4,70.51391271975308,0.12877868022766537,0
None,-0.2598001407675125,41.4,67.44585607323104,0.082947160808146,0
Moderate,1.5985381120963413,36.8,82.83189070505321,0.12927399887720253,0
Moderate,0.8021284586181193,30.9,89.49025072048975,0.12025409325312075,0
Heavy,0.8622235118869771,34.9,84.47608243596596,0.12768528926675504,1
Moderate,-1.4162270557926455,33.6,81.86995971232693,0.23280065596283578,0
None,-1.1511537365528692,37.9,81.64867900175246,0.1097221423422718,0
Moderate,-2.839078659485427,27.9,42.20213796853299,0.15434611235812323,0
Moderate,-0.809380821082754,34.8,66.94941884511893,0.14022874244402245,0
Moderate,0.9567031863856584,37.4,65.36046315222667,0.11079720768309592,0
Moderate,0.5169465157483709,35.2,88.46340592119924,0.10447808273450197,0
Moderate,-0.2215132629521239,43.1,68.57685098400283,0.1524935139961931,0
Moderate,-0.02230028371805305,39.6,80.5852768189616,0.0752588979484971,0
Moderate,-0.6888855425754056,35.0,79.36751812736723,0.05885230893007017,0
None,0.20475888240178416,36.3,70.59279016840829,0.06500740549243095,0
None,0.7658782794806148,36.8,66.5024942828554,0.15417802950350243,0
None,-1.6158867874104728,37.4,82.25658477190755,0.09207909659125565,0
Moderate,0.29964768783734813,24.0,64.52769001096453,0.1363492001110927,0
None,0.9324348709546673,33.2,78.40885871563786,0.08181736396416878,0
Moderate,-0.4151002889633696,26.1,62.66643694875207,0.11148283577319569,0
Heavy,0.7007006121205837,42.7,64.56450088866822,0.1043025716390078,1
None,2.814654444472553,34.6,83.15600381719669,0.14408297009767218,0
Moderate,-0.10434279298689192,33.8,69.13077844321349,0.09250575238189386,0
Moderate,0.3933070500053236,40.4,64.91888363149053,0.16958923331352221,0
None,-0.7380570836613916,37.5,73.82961816509231,0.08623388373533078,0
None,0.1812511626020504,28.2,66.4729995616989,0.08751201750140866,0
None,0.46027162498230384,34.6,67.58791096919921,0.1264881095716499,0
None,0.19484234027013805,33.0,67.54307396346404,0.15158979541463372,0
Heavy,-1.0196953197088567,24.5,63.34603299757094,0.10735841334669902,0
Moderate,0.2063617713254507,30.9,88.00092983998383,0.12397887529142067,0
Moderate,1.4621959387176369,33.9,88.60513883479321,0.09995515930190141,0
Heavy,0.4486357645145273,34.3,59.79234227039168,0.33536128690353495,1
Moderate,0.961987189071841,26.1,100.0,0.2448068192186338,1
None,-0.23701197001262772,41.9,62.72330676219597,0.20005085125812522,1
Heavy,0.7499002394237105,34.4,77.77073180063718,0.36288633506519347,0
Moderate,0.27926783821652595,35.2,62.50692963290658,0.16593760651533854,0
Moderate,-0.950910729687232,37.4,61.63520654080772,0.20636293937291222,0
Heavy,0.31852100479887446,30.3,55.84882899734093,0.3538549904315137,0
None,-0.9916966634403105,37.7,75.63253238710223,0.16344969921710134,0
None,-0.6328802748847919,32.8,79.97591773766071,0.06525729874081337,0
None,0.18932830729237413,29.6,79.27114521368608,0.08545323274580606,0
Moderate,0.29724427338012405,38.4,65.67634148665637,0.1753452790051278,0
Moderate,-1.189232465077129,44.0,60.26394031134782,0.11680528145419347,0
Heavy,1.0539857711828762,39.3,60.80004094040065,0.3483756317770728,0
None,0.5720062783004729,40.5,71.58748064890258,0.10984614276847968,0
Moderate,-0.7047284356108838,31.9,69.59546032361547,0.15942121765796774,1
Moderate,-1.5375847964491753,25.4,61.74310087033783,0.17608888658339322,1
None,-0.1449045790814313,43.9,76.13609531176236,0.07188807494828454,0
None,-0.44594371386116016,47.3,92.9567924747264,0.08548693531008844,0
None,0.11314045705302281,44.3,70.05430380964334,0.06206184023666319,0
Heavy,-0.3631166611555665,33.0,63.622994346996315,0.087490852881349,0
None,-2.00745686074501,28.1,79.95949297365584,0.10881052872912472,1
Moderate,-0.3883469383011584,28.6,64.34985790176299,0.11953938851713014,0
Moderate,-0.30561911106831297,24.9,74.22915028591588,0.10525934763037868,0
None,0.6336610247740587,34.4,67.788355820709,0.08414505418182823,0
Heavy,-0.6981996746110497,44.6,80.51936377435518,0.2489341349092179,0
Heavy,1.6786746733725662,34.2,73.14443942258242,0.32123028615513843,1
None,-1.911640550651757,36.8,64.66148489921702,0.10792083695001878,0
Moderate,1.3111674978026244,43.3,66.47562536570108,0.12505633688811008,1
None,-0.2243189708781048,32.6,72.72615373294546,0.10239701497703477,0
None,0.8595848723435562,47.2,90.86794400951034,0.04318077905986671,0
None,0.0798014840587331,47.0,63.778339850297456,0.1045190653893289,0
Moderate,1.1395555360254692,34.2,62.424738065062094,0.09125261574473197,0
Moderate,-0.38736196455281124,31.5,58.33587588954826,0.25598559333741605,0
None,-1.0986204251778122,39.2,68.33324213774176,0.12567649279108242,0
None,1.4205042872710631,32.9,73.68828137125385,0.11685991049967352,0
Heavy,-0.11348064588214118,28.1,51.589828447172515,0.24323319514509567,0
None,0.2215584736242106,42.7,64.41814950007185,0.2076494783841323,0
None,1.2347519140447951,42.3,81.25255318935587,0.041512600050457656,0
Moderate,-1.031955242094435,35.9,64.16680924532368,0.09395389700861767,0
Heavy,0.5954908976392573,27.4,77.13962166460489,0.27501407502589137,0
None,-0.5898947564628909,27.6,80.35638452718831,0.15413260327237588,0
Moderate,-0.13216935564437185,35.6,72.4633740939348,0.11375337133075991,0
Moderate,0.07227896538428889,32.0,74.70556158918825,0.20717517854684384,0
None,-1.500221861446936,33.0,52.84205524277708,0.1533014232959117,0
Moderate,-0.7788370428204348,41.1,65.52992408994166,0.2687203918447193,0
None,1.3510728924131392,39.4,89.17000832942816,0.0899414980514507,0
Moderate,0.8861911885847956,43.3,72.84460250169042,0.14060410793508304,0
Moderate,-0.06263957732723487,29.1,62.5485751997506,0.13455771562848662,0
Moderate,0.24312345851289308,32.9,95.98986887480403,0.115433476610248,0
None,-0.29424250563645765,39.6,86.93870017901808,0.035579246744363316,0
Moderate,1.356583385827982,37.7,81.49642495366761,0.0759113638347999,0
None,-0.20035257779416388,44.2,91.85238858959963,0.05629454105062427,0
None,0.23184209213484805,37.5,49.471021861442836,0.19411606582779045,0
None,1.146030144142065,46.1,69.14240210071324,0.12791814855654796,1
Moderate,-0.7773714848459066,38.2,68.387122201319,0.18678858734147968,0
Moderate,1.558789184496894,41.4,72.85202980072398,0.1877981953119818,1
None,-1.5304614097433769,33.1,67.53493562525331,0.1533133974567048,0
Moderate,1.6296421311127987,35.1,48.58602302249122,0.19530535746574446,1
None,-0.3726755839519746,40.5,76.8304382599179,0.1105596527274543,0
Moderate,-0.24269874782528175,44.7,76.69106132639936,0.14761192466050013,0
None,-1.890010171182943,39.4,87.36398183995199,0.13117998442856035,0
Moderate,-0.4547947173776929,34.5,59.66299413276305,0.13993073560095265,0
None,-1.0398065310268843,43.3,64.02068940230913,0.0970038025344445,0
Heavy,-0.6076463453734726,21.8,41.69046426573635,0.14068698211140424,0
None,-0.1373109657888796,26.5,70.53230832174667,0.11085092957884486,0
None,0.9577916144729056,39.1,82.21493609094364,0.06477260317249882,0
None,0.20760335140062577,35.1,68.84327987691478,0.10671485431671185,0
Heavy,0.30767665340111383,38.6,84.90596305586583,0.06923441943197337,0
Heavy,-1.0955193888455623,35.4,56.227987388447815,0.18435310059070129,0
